y,Age,Education,Experience,Hours
0,27,8.0,7,39.0
1,54,11.0,3,40.0
0,33,13.0,15,38.0
0,18,10.0,8,42.0
1,67,12.0,14,40.0
1,46,8.0,17,42.0
1,43,11.0,18,38.0
0,47,9.0,1,42.0
1,66,6.0,0,39.0
0,47,8.0,2,37.0
1,67,9.0,8,42.0
0,26,7.0,15,38.0
0,27,9.0,15,39.0
0,18,11.0,14,40.0
1,60,9.0,4,40.0
1,58,10.0,7,39.0
1,54,7.0,1,38.0
1,69,11.0,3,42.0
0,34,10.0,4,37.0
1,54,15.0,12,37.0
1,65,9.0,7,43.0
0,29,13.0,1,39.0
0,42,9.0,6,41.0
1,61,13.0,18,40.0
1,51,14.0,3,43.0
0,26,14.0,10,41.0
1,54,8.0,13,41.0
0,32,14.0,12,42.0
1,67,13.0,9,42.0
1,69,11.0,12,41.0
1,31,16.0,19,39.0
0,23,7.0,18,38.0
0,31,14.0,10,41.0
1,69,6.0,10,42.0
1,43,13.0,8,41.0
0,31,9.0,19,41.0
1,46,7.0,19,37.0
1,40,16.0,5,40.0
1,48,12.0,10,38.0
0,48,8.0,0,39.0
0,43,8.0,16,41.0
0,30,14.0,10,39.0
0,19,8.0,3,43.0
1,49,12.0,2,43.0
1,54,8.0,0,41.0
1,45,13.0,10,42.0
0,36,12.0,8,38.0
0,47,10.0,8,39.0
0,31,8.0,18,40.0
0,40,12.0,3,42.0
0,41,6.0,9,39.0
0,48,9.0,4,38.0
0,29,17.0,10,41.0
1,46,6.0,16,40.0
0,28,11.0,2,41.0
1,42,13.0,12,40.0
0,27,13.0,9,40.0
0,33,9.0,8,41.0
0,36,14.0,5,37.0
0,34,11.0,7,38.0
0,25,14.0,18,41.0
1,42,14.0,12,41.0
0,29,8.0,14,40.0
0,35,10.0,0,40.0
1,64,6.0,4,41.0
0,25,8.0,15,39.0
0,29,9.0,11,39.0
1,46,12.0,14,40.0
1,51,10.0,15,40.0
0,38,16.0,3,41.0
1,50,7.0,8,40.0
1,42,9.0,15,41.0
1,62,10.0,0,43.0
0,23,9.0,0,39.0
0,22,14.0,6,40.0
0,25,7.0,15,38.0
0,42,10.0,2,38.0
1,42,13.0,14,37.0
1,68,12.0,3,42.0
1,62,5.0,2,40.0
1,52,11.0,19,43.0
1,58,13.0,11,38.0
0,33,7.0,8,40.0
0,31,8.0,10,41.0
0,42,10.0,4,41.0
0,33,9.0,15,43.0
1,24,14.0,12,39.0
0,39,11.0,8,41.0
1,60,9.0,18,44.0
0,40,8.0,7,43.0
0,29,10.0,9,43.0
1,66,14.0,10,41.0
0,30,10.0,0,41.0
1,46,13.0,15,45.0
1,50,9.0,12,41.0
1,67,10.0,2,41.0
0,33,10.0,0,41.0
1,62,7.0,9,38.0
1,58,8.0,16,41.0
1,60,12.0,4,37.0
1,63,17.0,18,38.0
1,61,11.0,0,41.0
1,51,10.0,12,42.0
1,68,6.0,2,41.0
1,63,9.0,7,37.0
1,58,15.0,5,42.0
